"latlon_1","latlon_2","minutes","metres"
"52.193371,0.133181","52.215658,0.116916",36.9,3035
"52.193371,0.133181","52.20279,0.123446",18.2,1487
"52.193371,0.133181","52.210305,0.144955",35.8,2924
"52.193371,0.133181","52.212441,0.112782",31.6,2573
"52.193371,0.133181","52.204852,0.1402",20.2,1681
"52.193371,0.133181","52.2047,0.133197",18.4,1509
"52.193371,0.133181","52.204115,0.11827",21.5,1772
"52.193371,0.133181","52.205447,0.128666",19,1562
"52.193371,0.133181","52.197151,0.12947",6.1,513
"52.193371,0.133181","52.200312,0.148074",23.1,1920
"52.193371,0.133181","52.194151,0.131287",2.6,210
"52.193371,0.133181","52.20174,0.124801",13.6,1107
"52.193371,0.133181","52.202564,0.141934",18.8,1556
"52.193371,0.133181","52.2281,0.145945",58.3,4739
"52.193371,0.133181","52.200081,0.113542",22.9,1877
"52.193371,0.133181","52.215347,0.110694",36.7,2961
"52.193371,0.133181","52.19519,0.131527",3.1,253
"52.193371,0.133181","52.175104,0.112942",34.5,2831
"52.193371,0.133181","52.209395,0.118653",25.6,2122
"52.193371,0.133181","52.207357,0.129475",21.8,1804
"52.193371,0.133181","52.188419,0.152841",22.5,1865
"52.193371,0.133181","52.201476,0.116505",22,1812
"52.193371,0.133181","52.222428,0.135906",47.6,3852
"52.193371,0.133181","52.209025,0.118255",25,2074
"52.193371,0.133181","52.214511,0.124679",32.8,2682
"52.193371,0.133181","52.210943,0.112564",30.5,2519
"52.193371,0.133181","52.188744,0.138899",9,729
"52.193371,0.133181","52.187377,0.147348",15.9,1325
"52.193371,0.133181","52.229653,0.127701",59.6,4831
"52.193371,0.133181","52.205707,0.134211",20.5,1664
"52.193371,0.133181","52.197912,0.123667",13,1073
"52.193371,0.133181","52.204654,0.13277",20.4,1673
"52.193371,0.133181","52.213738,0.124159",33.1,2718
"52.193371,0.133181","52.199286,0.139698",13.4,1109
"52.21817,0.146081","52.230666,0.138805",24.5,1965
"52.21817,0.146081","52.207309,0.124159",27.1,2197
"52.21817,0.146081","52.200288,0.14001",29.3,2380
"52.21817,0.146081","52.198979,0.134796",34.4,2790
"52.21817,0.146081","52.174445,0.111068",73.6,6009
"52.21817,0.146081","52.21381,0.127675",19.1,1533
"52.21817,0.146081","52.196295,0.125083",39.5,3214
"52.21817,0.146081","52.210223,0.115604",31.1,2472
"52.21817,0.146081","52.200195,0.126718",35.2,2855
"52.21817,0.146081","52.196903,0.107245",50.5,4127
